UID         PID   PPID  C STIME TTY          TIME CMD
root       1699      2  0 Jun05 ?        00:00:00 [tmr-rd_mcp]
root       1700      2  0 Jun05 ?        00:00:00 [xcopy_wq]
root       1706      2  0 Jun05 ?        00:00:00 [iscsi_eh]
root       1734      1  0 Jun05 ?        00:58:28 /sbin/auditd
root       1740      2  0 Jun05 ?        00:00:00 [rpciod]
root       1741      2  0 Jun05 ?        00:00:00 [xprtiod]
root       1743      2  0 Jun05 ?        00:00:00 [xprtrdma_receiv]
root       1770      1  0 Jun05 ?        00:00:00 /opt/shiny-server/ext/node/bin/shiny-server /opt/shiny-server/lib/main.js
polkitd    1772      1  0 Jun05 ?        00:00:29 /usr/lib/polkit-1/polkitd --no-debug
dbus       1773      1  0 Jun05 ?        00:01:48 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
chrony     1782      1  0 Jun05 ?        00:00:18 /usr/sbin/chronyd
root       1783      1  0 Jun05 ?        00:01:14 /usr/lib/systemd/systemd-logind
root       1788      1  0 Jun05 ?        02:04:16 /usr/sbin/irqbalance --foreground
root       1809      1  0 Jun05 ?        00:00:11 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
root       1811      1  0 Jun05 ?        00:00:55 /usr/sbin/crond -n
root       1843      1  0 Jun05 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       1845      1  0 Jun05 ?        00:03:10 /usr/sbin/NetworkManager --no-daemon
root       1975      2  0 Jun05 ?        00:00:00 [kworker/41:1H]
root       1976      2  0 Jun05 ?        00:00:06 [kworker/23:1H]
root       1977      2  0 Jun05 ?        00:00:06 [kworker/19:1H]
root       1978      2  0 Jun05 ?        00:00:05 [kworker/7:1H]
root       1979      2  0 Jun05 ?        00:00:06 [kworker/5:1H]
root       1980      2  0 Jun05 ?        00:00:06 [kworker/3:1H]
root       1981      2  0 Jun05 ?        00:00:06 [kworker/1:1H]
root       2196      1  0 Jun05 ?        00:00:00 /usr/sbin/cupsd -f
root       2197      1  0 Jun05 ?        00:14:26 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       2198      1  0 Jun05 ?        00:52:59 /usr/sbin/sshd -D
root       2200      1  0 Jun05 ?        00:41:23 /usr/sbin/rsyslogd -n
clamscan   2213      1  0 Jun05 ?        00:30:12 /usr/sbin/clamd -c /etc/clamd.d/scan.conf
rstudio+   2214      1  0 Jun05 ?        00:32:53 /usr/lib/rstudio-server/bin/rserver
root       2310      1  0 Jun05 ?        00:00:00 nginx: master process /usr/sbin/nginx
nginx      2320   2310  0 Jun05 ?        00:00:03 nginx: worker process
nginx      2321   2310  0 Jun05 ?        00:00:04 nginx: worker process
nginx      2322   2310  0 Jun05 ?        00:00:04 nginx: worker process
nginx      2324   2310  0 Jun05 ?        00:00:04 nginx: worker process
nginx      2325   2310  0 Jun05 ?        00:00:04 nginx: worker process
nginx      2326   2310  0 Jun05 ?        00:00:04 nginx: worker process
nginx      2327   2310  0 Jun05 ?        00:00:05 nginx: worker process
nginx      2328   2310  0 Jun05 ?        00:00:05 nginx: worker process
nginx      2330   2310  0 Jun05 ?        00:00:05 nginx: worker process
nginx      2331   2310  0 Jun05 ?        00:00:06 nginx: worker process
nginx      2332   2310  0 Jun05 ?        00:00:10 nginx: worker process
nginx      2333   2310  0 Jun05 ?        00:00:25 nginx: worker process
mongod     2416      1  1 Jun05 ?        21:39:30 /usr/bin/mongod -f /etc/mongod.conf
root       2706      1  0 Jun05 ?        00:00:58 /usr/libexec/postfix/master -w
postfix    2727   2706  0 Jun05 ?        00:00:13 qmgr -l -t unix -u
root       3442      2  0 Jun05 ?        00:00:03 [kworker/22:1H]
root       3445      2  0 Jun05 ?        00:00:02 [kworker/16:1H]
root       8928      2  0 Jun05 ?        00:00:00 [kworker/28:1H]
